content,hashtag,timestamp,User
Thank you for this post. We need younger generations to know what our government did.,KentState,2023-05-05 04:03:24+00:00,Carol Armen 🇺🇦 💜🌊
Scenes from the 53rd Commemoration Candlelight Vigil,KentState,2023-05-05 03:48:09+00:00,Alexandria Manthey
"@DeRushaJ May 4th is a day to remember: 5/4/1970-Ohio National Guard troops opened fire on anti-war protesters at Kent State University, killing four students and wounding nine others, one permanently disabled.",KentState,2023-05-05 03:45:49+00:00,L Marie✨
"All these years later  still has a pall, especially in . In 1970  were unheard of, but on this date 53 years ago the  was the active shooter at . Four people died and nine were injured.",KentState,2023-05-05 03:44:33+00:00,Marthatopia
", 53 years ago, Ohio National Guard fire their weapons at students protesting Nixon’s Cambodia invasion on the Kent State University campus, killing four students, wounding eight, and permanently paralysing another.",KentState,2023-05-05 03:32:46+00:00,Books and Tunes 🇺🇦 Also Spoutable & Mastodon
"Did the Guard fire unprompted? After the shootings, the FBI tried to justify the Guard’s actions by connecting the event to a fire set on campus at an ROTC building two days prior, on May 2nd.",KentState,2023-05-05 03:29:23+00:00,latecomer
"(As an aside, in one of the more tragic turns, Kent State victim William Schroeder had actually considered quitting the ROTC program prior to his death.)",KentState,2023-05-05 03:29:21+00:00,latecomer
"Normies: ""It's , Star Wars day!""

Free Thinkers: ""It's May 4th, the day US troops were given orders to open fire on peaceful antiwar protesters at , killing 4 students, and not a single person has ever been held accountable for it.",KentState,2023-05-05 03:25:51+00:00,Ovr4tee
"Today marks 53 years since the tragic events at Kent State on May 4, 1970. A variety of programs, events and exhibits are scheduled for this year’s commemoration. More information:",KentState,2023-05-05 03:17:28+00:00,Joe Reedy
"53 years ago today
4 dead in Ohio",KentState,2023-05-05 03:14:19+00:00,Marsha
"in 1970 4 students were killed by the Ohio National Guard at , OH

 was a time when students dared, even at the cost of very real sacrifice, to stand up against &amp; resist the crimes of their government.

Special from ep7 of :",KentState,2023-05-05 03:00:31+00:00,RoseAvakian
@poppymoppet @KentState “ Tin soldiers and Nixon’s coming…..”,KentState,2023-05-05 02:28:12+00:00,Daniel Marchant
"5/4/1970-Ohio National Guard troops opened fire on anti-war protesters at Kent State University, killing four students and wounding nine others, one permanently disabled.
 
1/2",KentState,2023-05-05 02:22:10+00:00,goblinjail
We’ve become so normalized to this kind of violence… 53 years ago it was unconscionable.,KentState,2023-05-05 02:06:41+00:00,Teresa Knows 🎱
"This May 4, remember Kent State.  Ohio- Crosby, Stills, Nash and Young",KentState,2023-05-05 02:01:35+00:00,Robin Hood: Bold Outlaw
Never forget. 💔,KentState,2023-05-05 01:46:29+00:00,Victoria Danko RIP Tessie 🌈🇺🇦
It was on this day in 1970 that a tragic event in U.S. history took place at @KentState when 4 students were killed by the National Guard during a Anti-Vietnam protest. @jackybambam933 honored the fallen on @933WMMR by playing CSNY’s Ohio. @NeilYoungNYA,KentState,2023-05-05 01:23:54+00:00,Rob Heckman
"Yes, I know, ! But this is what I think of every year. Wishing everyone at   the  best on this day of reflection. And this is why- ""Brother Of  Victim Reflects On Iconic Photo, And One That Just Emerged  via @WBUR",KentState,2023-05-05 01:21:21+00:00,Len DeLuca
"When you hear someone say 'the American government would never do that', remember the Kent State Massacre. Four innocent students lost their lives at the hands of the Ohio National Guard For protesting Nixons expansion of the Vietnam War into Cambodia.",KentState,2023-05-05 01:13:04+00:00,"Brittany Kosin, RN"
"faculty members Wendy Tietz, Ph.D. and Drew Sellers, EDM participated in a recent crowdsourced  research study with other accounting professionals. Read more about this project:",KentState,2023-05-05 01:07:36+00:00,Deborah Spake
"@RussEisenstein @KentState When I was in school at OU in the mid/late 80s, Dean Kahler was an Athens county commissioner and came to a lot of OU home 🏀 games.  
If I recall correctly Coach Hahn (RIP) had him speak to the team about perseverance and overcoming adversity.  Very interesting and nice man.",KentState,2023-05-05 00:57:40+00:00,Brent Johnson
More proof that the US government is authoritarian…,KentState,2023-05-05 00:32:05+00:00,☭ Z☭
"Never forget   

Always remember the 4 killed and scores injured. 

Those that fired the shots were never prosecuted.",KentState,2023-05-05 00:31:12+00:00,Dive Bar Daryll
"May 4, 1970. 53 years ago, the National Guard (Ohio) intervened in a Vietnam War protest at  University. The Guard inexplicably opened fire on the unarmed protesters, wounding 10 and killing four.",KentState,2023-05-05 00:30:04+00:00,Oscar Bravo 🎷🎵🎶
This is just nuts… how’d he get cleared so fast,KentState,2023-05-05 00:22:14+00:00,Sidelines - Kent State ⚡️🦅
May 4th Candlelight March and Vigil,KentState,2023-05-05 00:19:06+00:00,Erin Sullivan
"""Kent State: The Real Story.""
This is a different perspective.",KentState,2023-05-05 00:16:15+00:00,𝕃𝕠𝕤𝕚𝕧𝕒𝕕 #VoteBlue #ArrestTrumpNow 🇺🇸
The day that protesting students and young people became expendable to the 'moral majority' as lesson in Ohio.,KentState,2023-05-05 00:10:41+00:00,nancydrewed
"In his memoir, In Retrospect: The Tragedy and Lessons of Vietnam, Robert McNamara wrote that the  was a mistake &amp; that he knew it all along. ‘We should have gotten out in 1963, when fewer than 100 Americans had been killed.´",KentState,2023-05-05 00:07:43+00:00,💧joan kunze
"In Retrospect: The Tragedy and Lessons of Vietnam, Robert McNamara wrote  was a mistake &amp; that he knew it all along. ‘We should have gotten out in 1963, when fewer than 100 Americans had been killed.´",KentState,2023-05-05 00:04:19+00:00,💧joan kunze
vs. Real War day.,KentState,2023-05-05 00:00:09+00:00,Majorly Traitorous Greed
"They'd only be in their early 70s now.

53 years ago, May 4, 1970. RIP Allison, Wiliam, Jeffrey, Sandra.",KentState,2023-05-04 23:53:58+00:00,Kathleen Taylor
Ironic that this story breaks in the anniversary of the Kent state shooting by national guard troops. This is a criminal Justice issue. The national guard has no business on our nation’s streets barring a legitimate disaster.,KentState,2023-05-04 23:46:12+00:00,THE OPS DESK
"To all my friends of a certain age let's not forget our four brothers and sisters who were shot by the OH National Guard on this day in 1970. Whatever your politcal stance, nobody should be shot on an American college campus.    💔",KentState,2023-05-04 23:43:01+00:00,TG Van Horne
"Raise a glass to the  4, lost 53 yrs ago today: 
- Allison Krause, 19 
- Jeffrey Miller, 20 
- Sandra Lee Scheuer, 20 
- William Schroeder, 19 
We have not forgotten. 
A remembrance from 3 yrs ago:",KentState,2023-05-04 23:38:45+00:00,coloradolife
"@JoForLiberty Not all knowledge is derived by 
""formal teaching"" but mainly by being inquisitive. Let this tweet and  by @officialcsny begin your understanding of @KentState 1970.

Thanks @people4liberty for keeping history alive &amp; useful to seek alternative solutions.",KentState,2023-05-04 23:36:44+00:00,David Rouse 🇺🇲🇺🇦🇪🇺
"I know people like to celebrate May 4th as 
...but if you went to @KentState, May 4th has a much deeper meaning. 
Kent State May 4 commemoration provides an opportunity to examine how the school handled protests",KentState,2023-05-04 23:36:05+00:00,Mark Seifarth
"Student singing 4 Dead In Ohio by Krosby, Stills, Nash &amp; Young during 53rd commemoration of May 4th, 1970",KentState,2023-05-04 23:33:35+00:00,cheryl norris
Some thoughts from an old guy on events in the summer of 1970.,KentState,2023-05-04 23:31:07+00:00,Bob Wood
"May 4, 1970
The day I learned my country would kill me for peaceful dissent.",KentState,2023-05-04 23:29:30+00:00,cheryl norris
This photo was taken 53 years ago today.,KentState,2023-05-04 23:13:06+00:00,𝘴𝘦𝘤𝘳𝘦𝘵𝘤𝘢𝘣𝘥𝘳𝘪𝘷𝘦𝘳🆓
"Somehow, punishing the rich and powerful people giving the orders is never on the menu.",KentState,2023-05-04 23:05:31+00:00,John Garrison
RIP @spinrilla I have vivid memories walking around as a freshman at @KentState playing “Songs for Women” off Nostalgia Ultra feeling like a million bucks,KentState,2023-05-04 23:02:21+00:00,Josh
@smith930 @KentState You’re right Jim. It being the govt is meaningful.,KentState,2023-05-04 22:58:44+00:00,Tom Kondilas
"May 4 1970 On this day in 1970, National Guard troops fired on antiwar protesters at Kent State University, killing four students and wounding nine others.

…the one school shooting no one talks about anymore.
And the one you should never forget. For so many…",KentState,2023-05-04 22:56:32+00:00,RC deWinter
And yet one of the tallest buildings in downtown Columbus memorializes the Gov. who called-in the National Guard who murdered these kids.,KentState,2023-05-04 22:54:08+00:00,FUCK ELON MUSK
@KentState students protesting  during and after the 53rd May 4th commemoration at Kent State University this afternoon. @beaconjournal @ClevelandScene @DispatchAlerts @WEWS @wkyc @clevelanddotcom @fox8news,KentState,2023-05-04 22:49:46+00:00,Jeremy Mark Ritch
"@Gvc3Casale @RollingStone @KentState @KSUAlumni @DEVO Thank you @Gvc3Casale for continuing to speak up &amp; out about this.
I featured a short (edited) segment of your profound 40th annv address re: on live radio in Ohio today as a way of trying to help keep the memory alive (around 57:30 mark)",KentState,2023-05-04 22:40:18+00:00,Andy Valeri
"Yes @hereandnowrobin!
For those of us who were alive when  actually happened (&amp; saw all of the horror of the events on the news) I do not think that jokes should be made of it, inclusive of cutesy-poo hashtags such as  / .",KentState,2023-05-04 22:39:17+00:00,Robin Young
Very good 🧵about the 1970   killings by @RobertSkvarla:,KentState,2023-05-04 22:35:08+00:00,Gregor Flock #Coronavirus research #FreePalestine
@ramccafferty @KentState Oh wow I must see this! Is it in the exact location of the old newsroom? Did you tear up? I probably would!,KentState,2023-05-04 22:21:04+00:00,Andrew Hampp
"A reminder that today is the anniversary of the  shooting. In a book for @enculturation I 
used it as a primer to talk about how my field of writing studies responded, highlighting the interplay between agency and authority in classrooms.",KentState,2023-05-04 22:07:15+00:00,Brad Vivian
@RussEisenstein @KentState Silly autocorrect Bower!,KentState,2023-05-04 22:03:55+00:00,Jason Yost
"was closed on May 4, 1970, after the shootings. Students were told to gather belongings as they would not be back to campus. Buses were brought in to transport students off campus which was deserted by nightfall.",KentState,2023-05-04 22:03:13+00:00,Roy Cam
"While some remember May 4th as the opening day fro STAR WARS (May the fourth be with you!), I remember May 4th for a different reason.",KentState,2023-05-04 22:02:44+00:00,Ghost of Tom Joad
(thread),KentState,2023-05-04 21:47:47+00:00,Open Source Intel
"May 4, 1970
If you wonder about the older generation in the US today and the laws restricting basic human liberties, remember what happened to their future leaders.",KentState,2023-05-04 21:47:27+00:00,Danica Jorden
@KentState It was murder.,KentState,2023-05-04 21:43:56+00:00,Opera Joe🇺🇸 🇺🇦 🎶☮️🟦
@ratdog69 I participated in a march from Columbia University to the mortuary where Jeffrey Miller's funeral was being held and back. The mood was somber and peaceful on the way there. Much different vibe on the way back.,KentState,2023-05-04 21:40:40+00:00,Steve Raucher
"I visited my alma mater, @KentState, recently and stopped by Taylor Hall. It housed the journalism program when I was there and is now home to the May 4 Visitors Center. I can’t imagine a better use for that building. The events of May 4 are more relevant than ever.",KentState,2023-05-04 21:26:38+00:00,Rachel Abbey McCafferty
Never forget,KentState,2023-05-04 21:22:18+00:00,Cavs won the best NBA 🏆
"My timeline: StArWaRs 🚀🛰️👽
Me: hey guys remember how the US government open fired on college students at  53 years ago?
🫠",KentState,2023-05-04 21:14:52+00:00,Nancy 😷
"""What if you knew her,
and found her dead on the ground?""
Never forget @KentState .",KentState,2023-05-04 21:09:23+00:00,Demos C. Ioannou 🇬🇷+🇩🇪=🇺🇸 ✌
"We're so grateful for amazing colleagues at @KentState &amp; @kentstatemay4, who stand in solidarity with our @JacksonStateU family.",KentState,2023-05-04 20:48:33+00:00,Mark Dawson
